"DOC_ID","depth","Site","treatment","class","abund","total","relabund"
"DOC-185","0-5cm","SR","timezero","aliphatic",2554,7019,36.39
"DOC-185","0-5cm","SR","timezero","aromatic",663,7019,9.45
"DOC-185","0-5cm","SR","timezero","condensed_arom",132,7019,1.88
"DOC-185","0-5cm","SR","timezero","unsaturated/lignin",3670,7019,52.29
"DOC-186","0-5cm","SR","timezero","aliphatic",2652,6820,38.89
"DOC-186","0-5cm","SR","timezero","aromatic",568,6820,8.33
"DOC-186","0-5cm","SR","timezero","condensed_arom",125,6820,1.83
"DOC-186","0-5cm","SR","timezero","unsaturated/lignin",3475,6820,50.95
"DOC-187","0-5cm","SR","timezero","aliphatic",2555,6782,37.67
"DOC-187","0-5cm","SR","timezero","aromatic",605,6782,8.92
"DOC-187","0-5cm","SR","timezero","condensed_arom",121,6782,1.78
"DOC-187","0-5cm","SR","timezero","unsaturated/lignin",3501,6782,51.62
"DOC-188","5cm-end","SR","timezero","aliphatic",920,2363,38.93
"DOC-188","5cm-end","SR","timezero","aromatic",97,2363,4.1
"DOC-188","5cm-end","SR","timezero","condensed_arom",30,2363,1.27
"DOC-188","5cm-end","SR","timezero","unsaturated/lignin",1316,2363,55.69
"DOC-189","5cm-end","SR","timezero","aliphatic",2076,5145,40.35
"DOC-189","5cm-end","SR","timezero","aromatic",406,5145,7.89
"DOC-189","5cm-end","SR","timezero","condensed_arom",54,5145,1.05
"DOC-189","5cm-end","SR","timezero","unsaturated/lignin",2609,5145,50.71
"DOC-190","5cm-end","SR","timezero","aliphatic",2092,5171,40.46
"DOC-190","5cm-end","SR","timezero","aromatic",410,5171,7.93
"DOC-190","5cm-end","SR","timezero","condensed_arom",63,5171,1.22
"DOC-190","5cm-end","SR","timezero","unsaturated/lignin",2606,5171,50.4
