"Mass","formula","element_comp","class","HC","OC","AImod","NOSC","C","H","O","N","S","P"
537.1537268,"C26H35O6S2P1","CHOSP","unsaturated/lignin",1.35,0.23,0.2,-0.7308,26,35,6,0,2,1
537.1591983,"C18H35O16P1","CHOP","aliphatic",1.94,0.89,-0.7778,-0.1667,18,35,16,0,0,1
537.1613528,"C25H30O13","CHO","unsaturated/lignin",1.2,0.52,0.2432,-0.16,25,30,13,0,0,0
537.1744745,"C22H35O13P1","CHOP","aliphatic",1.59,0.59,-0.1034,-0.4091,22,35,13,0,0,1
537.1748589,"C23H39O8S2P1","CHOSP","aliphatic",1.7,0.35,-0.125,-0.8261,23,39,8,0,2,1
537.1754219,"C23H39O8S2P1","CHOSP","aliphatic",1.7,0.35,-0.125,-0.8261,23,39,8,0,2,1
537.1768542,"C29H30O10","CHO","unsaturated/lignin",1.03,0.34,0.4167,-0.3448,29,30,10,0,0,0
537.1898459,"C16H34O16N4","CHON","aliphatic",2.12,1,-2.5,0.625,16,34,16,4,0,0
537.1902585,"C27H39O5S2P1","CHOSP","unsaturated/lignin",1.44,0.19,0.1628,-0.9259,27,39,5,0,2,1
537.1905834,"C27H31O6N4P1","CHONP","unsaturated/lignin",1.15,0.22,0.3684,-0.2593,27,31,6,4,0,1
537.1977585,"C26H34O12","CHO","unsaturated/lignin",1.31,0.46,0.2,-0.3846,26,34,12,0,0,0
537.2108612,"C23H39O12P1","CHOP","aliphatic",1.7,0.52,-0.125,-0.6522,23,39,12,0,0,1
537.2164638,"C27H38O9S1","CHOS","unsaturated/lignin",1.41,0.33,0.1628,-0.6667,27,38,9,0,1,0
537.2262404,"C17H38O15N4","CHON","aliphatic",2.24,0.88,-1.9091,0.2353,17,38,15,4,0,0
537.2266087,"C28H43O4S2P1","CHOSP","aliphatic",1.54,0.14,0.1304,-1.1071,28,43,4,0,2,1
537.2271124,"C28H35O5N4P1","CHONP","unsaturated/lignin",1.25,0.18,0.3171,-0.4643,28,35,5,4,0,1
537.2277134,"C26H38O8N2S1","CHONS","unsaturated/lignin",1.46,0.31,0.1053,-0.5385,26,38,8,2,1,0
537.2281105,"C34H34O6","CHO","unsaturated/lignin",1,0.18,0.4839,-0.6471,34,34,6,0,0,0
537.228417,"C34H34O6","CHO","unsaturated/lignin",1,0.18,0.4839,-0.6471,34,34,6,0,0,0
537.2341586,"C27H38O11","CHO","unsaturated/lignin",1.41,0.41,0.1628,-0.5926,27,38,11,0,0,0
537.2472529,"C24H43O11P1","CHOP","aliphatic",1.79,0.46,-0.1429,-0.875,24,43,11,0,0,1
537.2549112,"C24H42O13","CHO","aliphatic",1.75,0.54,-0.1429,-0.6667,24,42,13,0,0,0
537.2553949,"C24H42O13","CHO","aliphatic",1.75,0.54,-0.1429,-0.6667,24,42,13,0,0,0
537.2626205,"C28H43O8P1","CHOP","aliphatic",1.54,0.29,0.1304,-0.9643,28,43,8,0,0,1
537.2630788,"C29H47O3S2P1","CHOSP","aliphatic",1.62,0.1,0.102,-1.2759,29,47,3,0,2,1
537.2633792,"C29H47O3S2P1","CHOSP","aliphatic",1.62,0.1,0.102,-1.2759,29,47,3,0,2,1
537.2637292,"C27H42O7N2S1","CHONS","aliphatic",1.56,0.26,0.0732,-0.7407,27,42,7,2,1,0
537.2648739,"C35H38O5","CHO","unsaturated/lignin",1.09,0.14,0.4462,-0.8,35,38,5,0,0,0
537.2705599,"C28H42O10","CHO","aliphatic",1.5,0.36,0.1304,-0.7857,28,42,10,0,0,0
537.2836033,"C25H47O10P1","CHOP","aliphatic",1.88,0.4,-0.1579,-1.08,25,47,10,0,0,1
537.2988912,"C29H47O7P1","CHOP","aliphatic",1.62,0.24,0.102,-1.1379,29,47,7,0,0,1
537.2992879,"C30H51O2S2P1","CHOSP","aliphatic",1.7,0.07,0.0769,-1.4333,30,51,2,0,2,1
537.2996402,"C30H51O2S2P1","CHOSP","aliphatic",1.7,0.07,0.0769,-1.4333,30,51,2,0,2,1
537.3002949,"C28H46O6N2S1","CHONS","aliphatic",1.64,0.21,0.0455,-0.9286,28,46,6,2,1,0
537.3008962,"C36H42O4","CHO","unsaturated/lignin",1.17,0.11,0.4118,-0.9444,36,42,4,0,0,0
537.3012322,"C36H42O4","CHO","unsaturated/lignin",1.17,0.11,0.4118,-0.9444,36,42,4,0,0,0
537.3068828,"C29H46O9","CHO","aliphatic",1.59,0.31,0.102,-0.9655,29,46,9,0,0,0
537.3072158,"C29H46O9","CHO","aliphatic",1.59,0.31,0.102,-0.9655,29,46,9,0,0,0
537.3199128,"C26H51O9P1","CHOP","aliphatic",1.96,0.35,-0.1707,-1.2692,26,51,9,0,0,1
537.3367703,"C29H50O5N2S1","CHONS","aliphatic",1.72,0.17,0.0213,-1.1034,29,50,5,2,1,0
537.3433415,"C30H50O8","CHO","aliphatic",1.67,0.27,0.0769,-1.1333,30,50,8,0,0,0
538.0262247,"C24H13O14N1","CHON","condensed_arom",0.54,0.58,0.6875,0.75,24,13,14,1,0,0
538.0265091,"C24H13O14N1","CHON","condensed_arom",0.54,0.58,0.6875,0.75,24,13,14,1,0,0
538.0473631,"C21H17O16N1","CHON","unsaturated/lignin",0.81,0.76,0.4167,0.8571,21,17,16,1,0,0
538.0477899,"C21H17O16N1","CHON","unsaturated/lignin",0.81,0.76,0.4167,0.8571,21,17,16,1,0,0
538.0626517,"C25H17O13N1","CHON","aromatic",0.68,0.52,0.6,0.48,25,17,13,1,0,0
538.0631134,"C28H18O5N3S1P1","CHONSP","condensed_arom",0.64,0.18,0.7073,0.1071,28,18,5,3,1,1
538.0703977,"C30H22O3N1S2P1","CHONSP","aromatic",0.73,0.1,0.6327,-0.3,30,22,3,1,2,1
538.0837506,"C22H21O15N1","CHON","unsaturated/lignin",0.95,0.68,0.3333,0.5455,22,21,15,1,0,0
538.0840669,"C22H21O15N1","CHON","unsaturated/lignin",0.95,0.68,0.3333,0.5455,22,21,15,1,0,0
538.098309,"C18H25O14N3S1","CHONS","unsaturated/lignin",1.39,0.78,-0.4286,0.7778,18,25,14,3,1,0
538.0989486,"C26H21O12N1","CHON","aromatic",0.81,0.46,0.5263,0.2308,26,21,12,1,0,0
538.1201436,"C23H25O14N1","CHON","unsaturated/lignin",1.09,0.61,0.2667,0.2609,23,25,14,1,0,0
538.1205436,"C23H25O14N1","CHON","unsaturated/lignin",1.09,0.61,0.2667,0.2609,23,25,14,1,0,0
